patient_id,nir,nom,prenom,birth_date,sex,region_code
IPP0000000,117049375510508,FOURNIER,Pierre,2019-04-07,M,92
IPP0000001,223047557520419,FOURNIER,Camille,1992-07-04,F,75
IPP0000002,178019371543374,LAURENT,Marc,2011-07-15,M,93
IPP0000003,198029110036825,MICHEL,Ines,2007-07-03,M,91
IPP0000004,237099108156653,SIMON,Ines,1998-02-14,F,91
IPP0000005,255029479229733,DUBOIS,Julie,2025-06-09,F,94
IPP0000006,172117816738063,MICHEL,Paul,2010-04-15,M,78
IPP0000007,256119354774771,LEROY,Emma,2024-08-25,F,93
IPP0000008,269047886478771,BERNARD,Julie,2010-07-16,F,78
IPP0000009,139059493696697,MOREL,Hugo,2020-03-16,M,94
IPP0000010,160119327214349,LEROY,Manon,2009-08-01,M,93
IPP0000011,260107822514253,VINCENT,Sarah,1999-10-25,F,78
IPP0000012,148039381269751,DAVID,Ines,2002-04-26,M,93
IPP0000013,167087799556792,MARTIN,Sophie,2021-03-04,M,77
IPP0000014,241029116246535,MARTIN,Marc,1996-09-27,F,91
IPP0000015,165119415738377,PETIT,Manon,1965-11-10,M,94
IPP0000016,159017890085297,SIMON,Julie,1959-01-04,M,78
IPP0000017,168029583607171,FOURNIER,Luc,1968-02-03,M,95
IPP0000018,158039198821753,FOURNIER,Paul,1958-03-09,M,91
IPP0000019,275089512425496,LEROY,Pierre,1975-08-17,F,95
IPP0000020,218107507372558,BERNARD,Julie,2018-10-08,F,75
IPP0000021,141029428668640,ROUX,Paul,1941-02-17,M,94
IPP0000022,152109524980412,ROUX,Camille,1952-10-19,M,95
IPP0000023,187079142147921,BERNARD,Sophie,1987-07-12,M,91
IPP0000024,176029419555027,BERTRAND,Luc,1976-02-08,M,94
IPP0000025,294049245482857,FOURNIER,Sophie,1994-04-28,F,92
IPP0000026,158019417141797,ROUX,Sarah,1958-01-03,M,94
IPP0000027,150037540027232,BERTRAND,Lea,1950-03-13,M,75
IPP0000028,255099515919504,SIMON,Paul,1955-09-22,F,95
IPP0000029,158017805905283,MOREL,Sarah,1958-01-24,M,78
IPP0000030,109029307161013,DUBOIS,Julie,2009-02-28,M,93
